pair,method_a,method_b,metric,object_code,direction_count,delta_b_minus_a
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,bc2c,60,-0.049999999999999996
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b7c1,60,0.016666666666666666
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b7fd,60,-9.251858538542971e-19
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b80b,60,0.026190476190476188
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b812,60,0.023809523809523805
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b827,60,0.007142857142857143
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b871,60,-0.014285714285714285
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b8ed,60,0.009523809523809521
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b905,60,0.0047619047619047615
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b943,60,0.007142857142857142
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b974,60,-0.0071428571428571435
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b979,60,9.251858538542971e-19
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b97b,60,0.05952380952380953
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,b9e6,60,0.04285714285714285
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,ba0f,60,0.02619047619047619
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,baa9,60,0.0047619047619047615
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,bb26,60,0.0023809523809523825
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,bb7c,60,0.00476190476190476
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,bb7d,60,-0.03571428571428571
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,bbc6,60,0.016666666666666663
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,near_or_exact_antipodal_ge165,bc2c,60,-0.035714285714285705
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b7c1,60,0.016666666666666666
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b7fd,60,-0.007142857142857143
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b80b,60,0.026190476190476188
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b812,60,0.023809523809523805
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b827,60,0.004761904761904762
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b871,60,-0.014285714285714285
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b8ed,60,0.016666666666666663
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b905,60,0.0047619047619047615
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b943,60,0.007142857142857142
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b974,60,-0.0071428571428571435
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,exact_antipodal_180,b979,60,9.251858538542971e-19
